instagram_handle,page_name,contact_name,current_phase,status,warmup_start_date,followed_at,likes_completed,posts_liked,comments_completed,posts_commented,last_error,retry_count
reepequity,REEP Equity,Tim Ellis,1,in_progress,2026-01-12T15:21:01.597180,2026-01-12T15:21:01.597185,0,[],0,[],,0
thenewcomergroup,The Newcomer Group,Ross Howatt,1,in_progress,2026-01-12T15:21:01.597187,2026-01-12T15:21:01.597188,0,[],0,[],,0
franciscoruvalcabarealtor,Francisco Ruvalcaba Realtor,Seth Patterson,1,in_progress,2026-01-12T15:21:01.597189,2026-01-12T15:21:01.597190,0,[],0,[],,0
sandersrealestate,Sanders Real Estate,nan,1,in_progress,2026-01-12T15:21:01.597191,2026-01-12T15:21:01.597193,0,[],0,[],,0
carlsonrealestate,Carlson & Co. Real Estate,Meet Our Team,1,in_progress,2026-01-12T15:21:01.597195,2026-01-12T15:21:01.597196,0,[],0,[],,0
reiaccelerator,REI Accelerator,None None,1,in_progress,2026-01-12T15:21:01.597197,2026-01-12T15:21:01.597198,0,[],0,[],,0
reddoorrealtyandassociates,Red Door Realty & Associates,Luiz Pizzamiglio,1,in_progress,2026-01-12T15:21:01.597199,2026-01-12T15:21:01.597200,0,[],0,[],,0
thechristireecegroup,The Christi Reece Group - A Refreshing Real Estate Company,nan,1,in_progress,2026-01-12T15:21:01.597204,2026-01-12T15:21:01.597206,0,[],0,[],,0
sentry.io,Jeremy Krulikowski - High Performance Wealth Coach,nan,1,in_progress,2026-01-12T15:21:01.597207,2026-01-12T15:21:01.597208,0,[],0,[],,0
carpentercoachinggroup,Carpenter Coaching Group,nan,1,in_progress,2026-01-12T15:21:01.597209,2026-01-12T15:21:01.597210,0,[],0,[],,0
cmhomebuilders,C&M Home Builders and Real Estate,None None,1,in_progress,2026-01-12T15:21:01.597211,2026-01-12T15:21:01.597212,0,[],0,[],,0
lightwave_solutions_llc,Lightwave Solutions We Don't Tint Cars,nan,1,in_progress,2026-01-12T15:21:01.597213,2026-01-12T15:21:01.597214,0,[],0,[],,0
mollypetrelli,The Schossow Group,Dale Schossow,1,in_progress,2026-01-12T15:21:01.597215,2026-01-12T15:21:01.597215,0,[],0,[],,0
theschossowgroup,The Schossow Group,Dale Schossow,1,in_progress,2026-01-12T15:21:01.597216,2026-01-12T15:21:01.597217,0,[],0,[],,0
popculture,John Wyche,Anna Rumer,1,in_progress,2026-01-12T15:21:01.597218,2026-01-12T15:21:01.597219,0,[],0,[],,0
riverhillsproperties,River Hills Properties,nan,1,in_progress,2026-01-12T15:21:01.597220,2026-01-12T15:21:01.597221,0,[],0,[],,0
subto,Subto,Kyle Monteith,1,in_progress,2026-01-12T15:21:01.597222,2026-01-12T15:21:01.597223,0,[],0,[],,0
truckparkingclub,Truck Parking Club,nan,1,in_progress,2026-01-12T15:21:01.597224,2026-01-12T15:21:01.597224,0,[],0,[],,0
pacemorby,Pace Morby,Molly Tennant,1,in_progress,2026-01-12T15:21:01.597225,2026-01-12T15:21:01.597226,0,[],0,[],,0
easy_sell.in,EasySell,None None,1,in_progress,2026-01-12T15:21:01.597227,2026-01-12T15:21:01.597228,0,[],0,[],,0
easysell.in,EasySell,None None,1,in_progress,2026-01-12T15:21:01.597229,2026-01-12T15:21:01.597230,0,[],0,[],,0
great_lakes_film,Great Lakes Film & Graphics,Brian Hongsermeier Jr,1,in_progress,2026-01-12T15:21:01.597231,2026-01-12T15:21:01.597232,0,[],0,[],,0
greatlakes,Great Lakes Film & Graphics,Brian Hongsermeier Jr,1,in_progress,2026-01-12T15:21:01.597233,2026-01-12T15:21:01.597234,0,[],0,[],,0
