page_name,ad_count,total_page_likes,ad_texts,platforms,is_active,first_ad_date
Grounded Real Estate Imperial Valley,1,0,[],"[""MESSENGER"", ""AUDIENCE_NETWORK"", ""FACEBOOK"", ""THREADS"", ""INSTAGRAM""]",True,
Flip Funding LLC,1,0,[],"[""FACEBOOK"", ""INSTAGRAM""]",True,
"Total Home Realty Group, EXP Realty",1,0,[],"[""AUDIENCE_NETWORK"", ""FACEBOOK"", ""THREADS"", ""INSTAGRAM""]",True,
HUNT Real Estate ERA,1,0,[],"[""AUDIENCE_NETWORK"", ""FACEBOOK"", ""THREADS"", ""INSTAGRAM""]",True,
The FOX of Real Estate,1,0,[],"[""MESSENGER"", ""AUDIENCE_NETWORK"", ""FACEBOOK"", ""THREADS"", ""INSTAGRAM""]",True,
Blake B. Clark,1,0,[],"[""FACEBOOK"", ""INSTAGRAM""]",True,
S8 Acquisition,3,0,[],"[""MESSENGER"", ""AUDIENCE_NETWORK"", ""FACEBOOK"", ""THREADS"", ""INSTAGRAM""]",True,
Olivet Nazarene University,1,0,[],"[""MESSENGER"", ""AUDIENCE_NETWORK"", ""FACEBOOK"", ""THREADS"", ""INSTAGRAM""]",True,
Tula Tucker,1,0,[],"[""FACEBOOK"", ""INSTAGRAM""]",True,
Howard Hanna Canfield Office,1,0,[],"[""AUDIENCE_NETWORK"", ""FACEBOOK"", ""THREADS"", ""INSTAGRAM""]",True,
Real Estate Service,1,0,[],"[""AUDIENCE_NETWORK"", ""FACEBOOK"", ""INSTAGRAM""]",True,
Blackduck Realty,1,0,[],"[""FACEBOOK"", ""INSTAGRAM""]",True,
Artie Wilson and Associates - Real Estate Sales and Marketing,1,0,[],"[""AUDIENCE_NETWORK"", ""FACEBOOK"", ""INSTAGRAM""]",True,
"Jen Poskin, Realtor - atproperties",1,0,[],"[""AUDIENCE_NETWORK"", ""FACEBOOK"", ""INSTAGRAM""]",True,
Heather Caron at Coldwell Banker Realty,1,0,[],"[""AUDIENCE_NETWORK"", ""FACEBOOK"", ""INSTAGRAM""]",True,
"Team: Dave, Maureen Moore & JB Baxter You1stteam.com",1,0,[],"[""AUDIENCE_NETWORK"", ""FACEBOOK""]",True,
Urban Edge Real Estate Group REMAX Excel,4,0,[],"[""FACEBOOK""]",True,
ROG Mid Atlantic Region,4,0,[],"[""MESSENGER"", ""AUDIENCE_NETWORK"", ""FACEBOOK"", ""THREADS"", ""INSTAGRAM""]",True,
Jacksonville Area Home Guide,3,0,[],"[""AUDIENCE_NETWORK"", ""FACEBOOK"", ""INSTAGRAM""]",True,
Next Move Florida Group,1,0,[],"[""MESSENGER"", ""AUDIENCE_NETWORK"", ""FACEBOOK"", ""THREADS"", ""INSTAGRAM""]",True,
Ruseler Real Estate Curacao,1,0,[],"[""MESSENGER"", ""FACEBOOK"", ""THREADS"", ""INSTAGRAM""]",True,
Gianna Huergas - Real Estate Agent,1,0,[],"[""AUDIENCE_NETWORK"", ""FACEBOOK"", ""INSTAGRAM""]",True,
Charlotte County Home Finders,3,0,[],"[""AUDIENCE_NETWORK"", ""FACEBOOK"", ""INSTAGRAM""]",True,
Flagler County Home Finder,3,0,[],"[""AUDIENCE_NETWORK"", ""FACEBOOK"", ""INSTAGRAM""]",True,
Howard Hanna Real Estate Services,2,0,[],"[""FACEBOOK"", ""INSTAGRAM""]",True,
Shawn Oaks with Crye-Leike Real Estate Services,2,0,[],"[""AUDIENCE_NETWORK"", ""FACEBOOK"", ""THREADS"", ""INSTAGRAM""]",True,
Volusia County Homes For Sale,2,0,[],"[""AUDIENCE_NETWORK"", ""FACEBOOK"", ""INSTAGRAM""]",True,
Central Florida Homes For Sale,3,0,[],"[""AUDIENCE_NETWORK"", ""FACEBOOK"", ""INSTAGRAM""]",True,
The New York Real Estate Institute,2,0,[],"[""MESSENGER"", ""AUDIENCE_NETWORK"", ""FACEBOOK"", ""THREADS"", ""INSTAGRAM""]",True,
85W Real Estate,3,0,[],"[""MESSENGER"", ""AUDIENCE_NETWORK"", ""FACEBOOK"", ""INSTAGRAM""]",True,
Jeremy Garrett - Carolina One Real Estate,1,0,[],"[""AUDIENCE_NETWORK"", ""FACEBOOK"", ""INSTAGRAM""]",True,
Master Filmmaker,4,0,[],"[""MESSENGER"", ""AUDIENCE_NETWORK"", ""FACEBOOK"", ""THREADS"", ""INSTAGRAM""]",True,
