vertical,search_name,gmaps_name,phone,website,address,rating,review_count
Car Dealerships,Quill & Arrow - Personal Injury & Lemon Law Lawyers,Quill,(800) 982-3400,https://quill.com/,"300 Tri State, International Drive Ste 300, Lincolnshire, IL 60069",4.5,349
Car Dealerships,Toyota of Downtown L.A.,Toyota of Downtown L.A.,(213) 986-2011,https://www.toyotaofdowntownla.com/?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_content=sales,"1901 S Figueroa St, Los Angeles, CA 90007",4.1,4397
Car Dealerships,Devcarry,Los Angeles,,http://www.lacity.org/,California,,0
Car Dealerships,CardinaleWay Hyundai of Glendora,CardinaleWay Hyundai - Glendora,(909) 600-0610,https://www.cardinalewayhyundaiglendora.com/,"1253 S Lone Hill Ave, Glendora, CA 91740",4.5,1584
Car Dealerships,Modesti's Car Care Center,Modesti's Car Care Center - Best Auto Repair Shop in Culver City Ca,(310) 827-2400,http://www.modestis.com/,"12121 Jefferson Blvd, Culver City, CA 90230",4.9,482
Car Dealerships,CardinaleWay Hyundai of El Monte,CardinaleWay Hyundai of El Monte,(626) 686-3910,https://www.cardinalewayhyundaiofelmonte.com/,"3462 Peck Rd, El Monte, CA 91731",4.2,1532
Car Dealerships,Nissan of Mission Hills,Nissan Of Mission Hills,(818) 838-4444,http://www.nissanofmissionhills.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,"11000 Sepulveda Blvd, Mission Hills, CA 91345",4.4,3640
Car Dealerships,Lemonade Lawyers,Los Angeles Lemon Law Attorneys,(310) 910-9266,https://lemonlawexperts.com/,"453 S Spring St Suite 931, Los Angeles, CA 90013",4.9,62
Car Dealerships,CarPair,Mobile Mechanic Los Angeles,(213) 814-4495,http://mobilemechaniclosangelesca.com/,"515 Flower St, Los Angeles, CA 90071",4.1,20
Car Dealerships,Spada Spada,SPADA AUTO SERVICES,(562) 435-4837,http://spadaauto.com/,"607 W 14th St, Long Beach, CA 90813",4.8,19
Real Estate,"The Borges Real Estate Team, Keller Williams",Justin Borges - The Borges Real Estate Team,(213) 262-5092,http://lametrohomefinder.com/,"680 E Colorado Blvd Suite 180, Pasadena, CA 91101",5.0,84
Real Estate,5x agent to agent referrals ,Heyler Realty,(310) 721-0000,https://heylerrealty.com/?utm_source=gbp&utm_medium=organic,"10659 W Pico Blvd, Los Angeles, CA 90064",4.6,64
Real Estate,Kevin DaSilva Group,Kevin DaSilva Realtor,(424) 392-4213,http://www.kevindasilvagroup.com/,"1500 Rosecrans Ave #500, Manhattan Beach, CA 90266",4.9,71
Real Estate,Blayne Pacelli Realtor,Blayne Pacelli Realtor - Rodeo Realty,(310) 383-6281,https://www.blaynepacelli.com/,"15300 Ventura Blvd #101, Sherman Oaks, CA 91403",5.0,54
Real Estate,Dot.cards,dot. Cards,,https://dotcards.net/,,3.6,14
Real Estate,Elite Furniture Moving,Elite Moving & Storage - Los Angeles Movers,(818) 924-3777,https://www.elitemovingandstorage.com/?utm_source=Google&utm_campaign=GMB,"9000 Glenoaks Blvd, Sun Valley, CA 91352",4.8,660
Real Estate,Ken Sisson - Coldwell Banker Realty,Ken Sisson - Coldwell Banker,(310) 308-8672,https://kensisson.com/,"12930 Ventura Blvd #202, Studio City, CA 91604",5.0,34
